customer_id,Recency,Frequency,Monetary,R,F,M,RFM_Score,Segment
DB-129702,807,4,5520,1,1,4,114,At Risk
DB-129703,241,14,2840,2,3,3,233,Potential
DB-130601,16,14,9904,4,3,4,434,Potential
DB-130602,441,15,7873,1,4,4,144,Loyal Customers
DB-130603,47,12,1169,3,3,2,332,Potential
DB-130604,16,13,4532,4,3,4,434,Potential
DB-131201,917,4,350,1,1,1,111,At Risk
DB-131202,5,7,1953,4,2,3,423,Potential
DB-131203,28,3,327,4,1,1,411,Potential
DB-131204,48,14,2974,3,3,3,333,Potential
DB-132101,16,17,2179,4,4,3,443,Loyal Customers
DB-132102,7,14,6544,4,3,4,434,Potential
DB-132103,21,10,2689,4,2,3,423,Potential
DB-132104,9,21,2333,4,4,3,443,Loyal Customers
DB-132701,33,20,2386,4,4,3,443,Loyal Customers
DB-132702,9,12,4532,4,3,4,434,Potential
DB-132703,1121,3,118,1,1,1,111,At Risk
DB-132704,53,13,4655,3,3,4,334,Potential
DB-133601,47,13,2322,3,3,3,333,Potential
DB-133602,238,10,1498,2,2,2,222,Potential
DB-133603,67,16,2018,3,4,3,343,Loyal Customers
DB-133604,264,6,1081,2,1,2,212,Potential
DB-134051,28,16,8105,4,4,4,444,Champions
DB-134052,482,10,2879,1,2,3,123,At Risk
DB-134053,107,9,3390,3,2,3,323,Potential
DB-134054,187,14,1712,2,3,2,232,Potential
DB-135551,40,13,2331,4,3,3,433,Potential
DB-135552,72,8,1202,3,2,2,322,Potential
DB-135553,36,10,1971,4,2,3,423,Potential
DB-135554,107,14,3909,3,3,4,334,Potential
DB-136151,27,10,2567,4,2,3,423,Potential
DB-136152,577,16,3874,1,4,4,144,Loyal Customers
DB-136153,117,13,1602,2,3,2,232,Potential
DB-136154,33,11,1989,4,3,3,433,Potential
DB-136601,30,12,4522,4,3,4,434,Potential
DB-136602,401,7,3961,1,2,4,124,At Risk
DB-136603,281,6,1758,1,1,2,112,At Risk
DB-136604,12,10,1156,4,2,2,422,Potential
DB-29101,333,5,792,1,1,2,112,At Risk
DB-29102,498,3,1180,1,1,2,112,At Risk
DB-29103,54,8,1080,3,2,2,322,Potential
DB-29701,218,2,181,2,1,1,211,Potential
DB-29702,57,6,332,3,1,1,311,Potential
DB-30601,246,7,631,2,2,1,221,Potential
DB-30602,8,9,1441,4,2,2,422,Potential
DB-31201,672,4,206,1,1,1,111,At Risk
DB-31202,358,2,465,1,1,1,111,At Risk
DB-32101,628,10,370,1,2,1,121,At Risk
DB-32102,582,1,17,1,1,1,111,At Risk
DB-32701,531,5,662,1,1,1,111,At Risk
DB-32702,48,5,225,3,1,1,311,Potential
DB-33601,434,7,3691,1,2,3,123,At Risk
DB-34051,557,2,548,1,1,1,111,At Risk
DB-35551,5,2,131,4,1,1,411,Potential
DB-35552,41,2,840,4,1,2,412,Potential
DB-36151,107,6,2686,3,1,3,313,Potential
DB-36152,125,2,137,2,1,1,211,Potential
DB-36601,237,4,728,2,1,1,211,Potential
DB-36602,811,3,1479,1,1,2,112,At Risk
DC-128501,97,18,3085,3,4,3,343,Loyal Customers
DC-128502,71,6,1339,3,1,2,312,Potential
DC-128503,41,17,1548,4,4,2,442,Loyal Customers
DC-128504,37,18,3336,4,4,3,443,Loyal Customers
DC-132851,450,2,440,1,1,1,111,At Risk
DC-132852,119,12,7308,2,3,4,234,Potential
DC-132853,18,27,7248,4,4,4,444,Champions
DC-132854,23,7,1175,4,2,2,422,Potential
DC-28501,315,7,1476,1,2,2,122,At Risk
DC-28502,34,6,2091,4,1,3,413,Potential
DC-28503,200,5,564,2,1,1,211,Potential
DC-32851,737,4,574,1,1,1,111,At Risk
DC-32852,392,2,227,1,1,1,111,At Risk
DD-135701,110,3,551,2,1,1,211,Potential
DD-135702,144,25,6899,2,4,4,244,Loyal Customers
DD-135703,77,14,1023,3,3,2,332,Potential
DD-135704,41,9,269,4,2,1,421,Potential
DD-35701,63,9,1823,3,2,2,322,Potential
DD-35702,140,6,506,2,1,1,211,Potential
DE-132551,19,12,3761,4,3,3,433,Potential
DE-132552,28,4,1269,4,1,2,412,Potential
DE-132553,130,17,2503,2,4,3,243,Loyal Customers
DE-132554,719,9,2551,1,2,3,123,At Risk
DE-32551,520,3,142,1,1,1,111,At Risk
DE-32552,48,10,2573,3,2,3,323,Potential
DF-131351,9,19,4201,4,4,4,444,Champions
DF-131352,46,10,3288,3,2,3,323,Potential
DF-131353,415,4,359,1,1,1,111,At Risk
DF-131354,700,6,2391,1,1,3,113,At Risk
DF-31351,43,5,1049,3,1,2,312,Potential
DF-31352,925,8,252,1,2,1,121,At Risk
DG-133001,107,17,5020,3,4,4,344,Loyal Customers
DG-133002,127,12,2484,2,3,3,233,Potential
DG-133003,30,15,3034,4,4,3,443,Loyal Customers
DG-133004,32,8,3195,4,2,3,423,Potential
DG-33001,378,11,2949,1,3,3,133,At Risk
DG-33002,14,1,33,4,1,1,411,Potential
DH-130751,75,10,3831,3,2,4,324,Potential
DH-130752,111,10,2386,2,2,3,223,Potential
DH-130753,92,13,2978,3,3,3,333,Potential
DH-130754,277,23,4933,1,4,4,144,Loyal Customers
DH-136751,92,8,3433,3,2,3,323,Potential
DH-136752,21,4,2518,4,1,3,413,Potential
DH-136753,23,7,822,4,2,2,422,Potential
DH-136754,776,11,1042,1,3,2,132,At Risk
DH-30751,159,21,1587,2,4,2,242,Loyal Customers
DH-30752,489,6,476,1,1,1,111,At Risk
DH-36751,119,9,3412,2,2,3,223,Potential
DH-36752,932,1,30,1,1,1,111,At Risk
DH-36753,20,14,1220,4,3,2,432,Potential
DJ-134201,50,13,5230,3,3,4,334,Potential
DJ-134202,22,24,11158,4,4,4,444,Champions
DJ-134203,432,16,3740,1,4,3,143,Loyal Customers
DJ-134204,637,5,2012,1,1,3,113,At Risk
DJ-135101,6,10,2668,4,2,3,423,Potential
DJ-135102,166,17,4513,2,4,4,244,Loyal Customers
DJ-135103,84,29,5736,3,4,4,344,Loyal Customers
DJ-135104,48,13,2502,3,3,3,333,Potential
DJ-136301,65,20,4266,3,4,4,344,Loyal Customers
DJ-136302,419,13,2730,1,3,3,133,At Risk
DJ-136303,324,6,2206,1,1,3,113,At Risk
DJ-136304,12,8,3357,4,2,3,423,Potential
DJ-34201,114,4,263,2,1,1,211,Potential
DJ-34202,1,1,158,4,1,1,411,Potential
DJ-35101,118,3,2406,2,1,3,213,Potential
DJ-35102,582,1,194,1,1,1,111,At Risk
DJ-35103,6,5,3376,4,1,3,413,Potential
DJ-36301,253,2,245,2,1,1,211,Potential
DJ-36302,34,5,1048,4,1,2,412,Potential
DK-128351,57,11,2628,3,3,3,333,Potential
DK-128352,177,9,4960,2,2,4,224,Potential
DK-128353,57,21,6745,3,4,4,344,Loyal Customers
DK-128354,21,27,3256,4,4,3,443,Loyal Customers
DK-128951,54,10,6372,3,2,4,324,Potential
DK-128952,57,10,2533,3,2,3,323,Potential
DK-128953,272,18,5157,1,4,4,144,Loyal Customers
DK-128954,45,15,4283,3,4,4,344,Loyal Customers
DK-129851,1,21,5573,4,4,4,444,Champions
DK-129852,37,22,2819,4,4,3,443,Loyal Customers
DK-129853,97,12,4743,3,3,4,334,Potential
DK-129854,7,8,1687,4,2,2,422,Potential
DK-130901,8,31,10186,4,4,4,444,Champions
DK-130902,24,9,5428,4,2,4,424,Potential
DK-130903,75,8,916,3,2,2,322,Potential
DK-130904,42,13,2652,3,3,3,333,Potential
DK-131501,71,13,4872,3,3,4,334,Potential
DK-131502,167,12,5970,2,3,4,234,Potential
DK-131503,421,9,4340,1,2,4,124,At Risk
DK-131504,10,5,798,4,1,2,412,Potential
DK-132251,1,9,652,4,2,1,421,Potential
DK-132252,26,10,1819,4,2,2,422,Potential
DK-132253,83,7,1972,3,2,3,323,Potential
DK-132254,10,19,4802,4,4,4,444,Champions
DK-133751,85,16,4420,3,4,4,344,Loyal Customers
DK-133752,54,10,3069,3,2,3,323,Potential
DK-133753,4,12,5450,4,3,4,434,Potential
DK-133754,19,23,3318,4,4,3,443,Loyal Customers
DK-28351,107,5,1830,3,1,2,312,Potential
DK-28352,21,13,1542,4,3,2,432,Potential
DK-28951,146,5,254,2,1,1,211,Potential
DK-28952,159,12,1039,2,3,2,232,Potential
DK-29851,1206,1,81,1,1,1,111,At Risk
DK-30901,68,2,67,3,1,1,311,Potential
DK-30902,167,1,207,2,1,1,211,Potential
DK-31501,57,4,333,3,1,1,311,Potential
DK-31502,212,15,1246,2,4,2,242,Loyal Customers
DK-32251,65,7,822,3,2,2,322,Potential
DK-32252,250,4,585,2,1,1,211,Potential
DK-33751,117,6,1764,2,1,2,212,Potential
DK-33752,1394,1,60,1,1,1,111,At Risk
DK-33753,306,8,2022,1,2,3,123,At Risk
DL-128651,57,12,4683,3,3,4,334,Potential
DL-128652,118,16,3023,2,4,3,243,Loyal Customers
DL-128653,175,13,1977,2,3,3,233,Potential
DL-128654,100,14,1504,3,3,2,332,Potential
DL-129251,57,16,4807,3,4,4,344,Loyal Customers
DL-129252,1412,2,117,1,1,1,111,At Risk
DL-129253,68,21,3169,3,4,3,343,Loyal Customers
DL-129254,57,14,3274,3,3,3,333,Potential
DL-133151,224,7,1850,2,2,2,222,Potential
DL-133152,18,26,13191,4,4,4,444,Champions
DL-133153,34,15,2007,4,4,3,443,Loyal Customers
DL-133154,22,17,1458,4,4,2,442,Loyal Customers
DL-133301,12,24,9729,4,4,4,444,Champions
DL-133302,204,21,4514,2,4,4,244,Loyal Customers
DL-133303,27,17,1949,4,4,3,443,Loyal Customers
DL-133304,57,8,585,3,2,1,321,Potential
DL-134951,508,6,4541,1,1,4,114,At Risk
DL-134952,22,14,5618,4,3,4,434,Potential
DL-134953,55,14,2176,3,3,3,333,Potential
DL-134954,76,12,3540,3,3,3,333,Potential
DL-28651,202,6,926,2,1,2,212,Potential
DL-28652,501,1,256,1,1,1,111,At Risk
DL-28653,273,6,321,1,1,1,111,At Risk
DL-29251,37,10,356,4,2,1,421,Potential
DL-29252,155,9,478,2,2,1,221,Potential
DL-33151,47,7,715,3,2,1,321,Potential
DL-33152,103,4,1031,3,1,2,312,Potential
DL-33301,952,1,14,1,1,1,111,At Risk
DL-33302,705,2,156,1,1,1,111,At Risk
DL-33303,855,2,989,1,1,2,112,At Risk
DL-34951,460,5,655,1,1,1,111,At Risk
DL-34952,282,5,118,1,1,1,111,At Risk
DM-129551,160,17,7348,2,4,4,244,Loyal Customers
DM-129552,40,12,3887,4,3,4,434,Potential
DM-129553,265,19,7304,2,4,4,244,Loyal Customers
DM-129554,114,9,1321,2,2,2,222,Potential
DM-130151,5,15,5904,4,4,4,444,Champions
DM-130152,5,13,2930,4,3,3,433,Potential
DM-130153,96,6,448,3,1,1,311,Potential
DM-130154,57,20,6344,3,4,4,344,Loyal Customers
DM-133451,90,13,6883,3,3,4,334,Potential
DM-133452,2,17,4806,4,4,4,444,Champions
DM-133453,568,4,1290,1,1,2,112,At Risk
DM-133454,22,13,4074,4,3,4,434,Potential
DM-135251,323,8,2553,1,2,3,123,At Risk
DM-135252,58,9,3505,3,2,3,323,Potential
DM-135253,35,11,2208,4,3,3,433,Potential
DM-135254,481,10,1378,1,2,2,122,At Risk
DM-29551,650,9,878,1,2,2,122,At Risk
DM-29552,708,3,139,1,1,1,111,At Risk
DM-29553,12,7,1420,4,2,2,422,Potential
DM-30151,2,7,966,4,2,2,422,Potential
DM-30152,30,5,1141,4,1,2,412,Potential
DM-33451,145,6,334,2,1,1,211,Potential
DM-33452,461,6,4664,1,1,4,114,At Risk
DM-35251,1150,5,246,1,1,1,111,At Risk
DM-35252,323,4,1183,1,1,2,112,At Risk
DM-35253,321,5,763,1,1,2,112,At Risk
DN-136901,19,8,2649,4,2,3,423,Potential
DN-136902,41,9,3020,4,2,3,423,Potential
DN-136903,265,12,5290,2,3,4,234,Potential
DN-136904,217,11,2139,2,3,3,233,Potential
DN-36901,12,13,735,4,3,2,432,Potential
DN-36902,434,4,949,1,1,2,112,At Risk
DN-36903,593,3,133,1,1,1,111,At Risk
DO-134351,161,13,9101,2,3,4,234,Potential
DO-134352,287,9,2697,1,2,3,123,At Risk
DO-134353,64,23,2184,3,4,3,343,Loyal Customers
DO-134354,133,13,1298,2,3,2,232,Potential
DO-136451,379,17,6540,1,4,4,144,Loyal Customers
DO-136452,106,19,2329,3,4,3,343,Loyal Customers
DO-136453,230,12,1947,2,3,3,233,Potential
DO-136454,26,11,1267,4,3,2,432,Potential
DO-34351,36,13,2261,4,3,3,433,Potential
DO-34352,71,12,1256,3,3,2,332,Potential
DO-36451,168,3,251,2,1,1,211,Potential
DO-36452,128,4,1112,2,1,2,212,Potential
DO-36453,41,2,326,4,1,1,411,Potential
DP-130001,61,9,3395,3,2,3,323,Potential
DP-130002,89,23,6306,3,4,4,344,Loyal Customers
DP-130003,394,18,3135,1,4,3,143,Loyal Customers
DP-130004,126,17,1051,2,4,2,242,Loyal Customers
DP-131051,98,16,11883,3,4,4,344,Loyal Customers
DP-131052,132,4,926,2,1,2,212,Potential
DP-131053,64,15,3906,3,4,4,344,Loyal Customers
DP-131054,6,14,2215,4,3,3,433,Potential
DP-131651,358,13,11836,1,3,4,134,At Risk
DP-131652,56,21,7444,3,4,4,344,Loyal Customers
DP-131653,7,17,1874,4,4,2,442,Loyal Customers
DP-131654,812,4,1059,1,1,2,112,At Risk
DP-133901,133,12,1889,2,3,2,232,Potential
DP-133902,0,10,1773,4,2,2,422,Potential
DP-133903,245,7,1141,2,2,2,222,Potential
DP-133904,358,14,5482,1,3,4,134,At Risk
DP-30001,48,7,1107,3,2,2,322,Potential
DP-30002,1192,1,30,1,1,1,111,At Risk
DP-30003,14,7,956,4,2,2,422,Potential
DP-31051,64,8,5858,3,2,4,324,Potential
DP-31052,176,5,1113,2,1,2,212,Potential
DP-31651,7,12,1364,4,3,2,432,Potential
DP-31652,1104,1,153,1,1,1,111,At Risk
DP-33901,1254,5,714,1,1,1,111,At Risk
DP-33902,100,1,91,3,1,1,311,Potential
DP-33903,12,8,571,4,2,1,421,Potential
DR-128801,29,11,3328,4,3,3,433,Potential
DR-128802,196,12,1894,2,3,2,232,Potential
DR-128803,6,20,2664,4,4,3,443,Loyal Customers
DR-128804,3,24,6527,4,4,4,444,Champions
DR-129401,75,28,10943,3,4,4,344,Loyal Customers
DR-129402,27,16,4652,4,4,4,444,Champions
DR-129403,48,14,1696,3,3,2,332,Potential
DR-129404,50,13,8352,3,3,4,334,Potential
DR-28801,265,11,1091,2,3,2,232,Potential
DR-28802,4,6,1201,4,1,2,412,Potential
DR-29401,39,9,2065,4,2,3,423,Potential
DR-29402,304,5,224,1,1,1,111,At Risk
DS-130301,135,11,3254,2,3,3,233,Potential
DS-130302,277,14,2082,1,3,3,133,At Risk
DS-130303,152,17,4547,2,4,4,244,Loyal Customers
DS-130304,93,19,1762,3,4,2,342,Loyal Customers
DS-131801,118,9,3598,2,2,3,223,Potential
DS-131802,118,8,1632,2,2,2,222,Potential
DS-131803,14,20,5338,4,4,4,444,Champions
DS-131804,23,20,2882,4,4,3,443,Loyal Customers
DS-30301,48,2,691,3,1,1,311,Potential
DS-30302,184,5,947,2,1,2,212,Potential
DS-31801,323,5,177,1,1,1,111,At Risk
DS-31802,71,1,7,3,1,1,311,Potential
DV-130451,40,20,5756,4,4,4,444,Champions
DV-130452,96,10,2210,3,2,3,323,Potential
DV-130453,121,20,9018,2,4,4,244,Loyal Customers
DV-130454,19,9,1122,4,2,2,422,Potential
DV-134651,194,11,3861,2,3,4,234,Potential
DV-134652,408,5,412,1,1,1,111,At Risk
DV-134653,190,20,5297,2,4,4,244,Loyal Customers
DV-134654,29,15,3343,4,4,3,443,Loyal Customers
DV-30451,630,10,1269,1,2,2,122,At Risk
DV-30452,33,25,3374,4,4,3,443,Loyal Customers
DV-34651,26,3,162,4,1,1,411,Potential
DV-34652,13,9,3876,4,2,4,424,Potential
DW-131951,6,25,7327,4,4,4,444,Champions
DW-131952,27,6,756,4,1,2,412,Potential
DW-131953,89,5,526,3,1,1,311,Potential
DW-131954,69,9,1079,3,2,2,322,Potential
DW-134801,65,16,5313,3,4,4,344,Loyal Customers
DW-134802,184,21,3412,2,4,3,243,Loyal Customers
DW-134803,212,15,2340,2,4,3,243,Loyal Customers
DW-134804,217,11,5272,2,3,4,234,Potential
DW-135401,12,8,3800,4,2,4,424,Potential
DW-135402,33,19,5296,4,4,4,444,Champions
DW-135403,94,15,3729,3,4,3,343,Loyal Customers
DW-135404,98,9,343,3,2,1,321,Potential
DW-135851,5,20,4415,4,4,4,444,Champions
DW-135852,12,13,1490,4,3,2,432,Potential
DW-135853,82,26,5034,3,4,4,344,Loyal Customers
DW-135854,242,10,1205,2,2,2,222,Potential
DW-31951,1147,1,55,1,1,1,111,At Risk
DW-31952,1063,10,1187,1,2,2,122,At Risk
DW-34801,167,9,1339,2,2,2,222,Potential
DW-34802,494,3,2469,1,1,3,113,At Risk
DW-34803,55,13,3311,3,3,3,333,Potential
DW-35401,54,2,25,3,1,1,311,Potential
DW-35402,1195,2,428,1,1,1,111,At Risk
DW-35403,919,7,763,1,2,2,122,At Risk
DW-35851,28,4,435,4,1,1,411,Potential
DW-35852,147,1,27,2,1,1,211,Potential
Dl-136001,5,19,8124,4,4,4,444,Champions
Dl-136002,160,13,2973,2,3,3,233,Potential
Dl-136003,85,2,59,3,1,1,311,Potential
Dl-136004,119,6,756,2,1,2,212,Potential
Dl-36001,189,9,993,2,2,2,222,Potential
Dl-36002,111,9,1815,2,2,2,222,Potential
Dp-132401,251,13,9845,2,3,4,234,Potential
Dp-132402,90,5,980,3,1,2,312,Potential
Dp-132403,18,25,4201,4,4,4,444,Champions
Dp-132404,84,29,7199,3,4,4,344,Loyal Customers
Dp-32401,469,5,382,1,1,1,111,At Risk
Dp-32402,25,3,128,4,1,1,411,Potential
Dp-32403,1169,1,98,1,1,1,111,At Risk
EA-140351,93,12,2922,3,3,3,333,Potential
EA-140352,578,6,1337,1,1,2,112,At Risk
EA-140353,191,26,4285,2,4,4,244,Loyal Customers
EA-140354,152,25,2846,2,4,3,243,Loyal Customers
EA-40351,165,3,131,2,1,1,211,Potential
EB-137051,75,14,1641,3,3,2,332,Potential
EB-137052,709,10,3127,1,2,3,123,At Risk
EB-137053,264,17,3972,2,4,4,244,Loyal Customers
EB-137054,48,12,3643,3,3,3,333,Potential
EB-137501,362,3,1120,1,1,2,112,At Risk
EB-137502,32,9,2024,4,2,3,423,Potential
EB-137503,90,6,2109,3,1,3,313,Potential
EB-137504,35,20,3236,4,4,3,443,Loyal Customers
EB-138401,441,10,4078,1,2,4,124,At Risk
EB-138402,2,17,9895,4,4,4,444,Champions
EB-138403,195,9,1856,2,2,2,222,Potential
EB-138404,90,8,4358,3,2,4,324,Potential
EB-138701,15,9,2920,4,2,3,423,Potential
EB-138702,17,7,1071,4,2,2,422,Potential
EB-138703,72,2,93,3,1,1,311,Potential
EB-138704,100,11,2768,3,3,3,333,Potential
EB-139301,19,16,3305,4,4,3,443,Loyal Customers
EB-139302,75,6,4727,3,1,4,314,Potential
EB-139303,597,2,557,1,1,1,111,At Risk
EB-139304,161,7,944,2,2,2,222,Potential
EB-139751,19,13,1985,4,3,3,433,Potential
EB-139752,142,16,4893,2,4,4,244,Loyal Customers
EB-139753,0,30,4883,4,4,4,444,Champions
EB-139754,0,6,1644,4,1,2,412,Potential
EB-141101,281,11,3471,1,3,3,133,At Risk
EB-141102,53,18,6522,3,4,4,344,Loyal Customers
EB-141103,35,6,601,4,1,1,411,Potential
EB-141104,113,11,3073,2,3,3,233,Potential
EB-141701,131,9,1788,2,2,2,222,Potential
EB-141702,357,2,419,1,1,1,111,At Risk
EB-141703,19,21,3344,4,4,3,443,Loyal Customers
EB-141704,82,7,1187,3,2,2,322,Potential
EB-37051,398,9,2720,1,2,3,123,At Risk
EB-37052,1323,3,422,1,1,1,111,At Risk
EB-37501,1134,2,173,1,1,1,111,At Risk
EB-37502,184,9,766,2,2,2,222,Potential
EB-38401,618,1,9,1,1,1,111,At Risk
EB-38402,1259,4,1444,1,1,2,112,At Risk
EB-38403,43,8,346,3,2,1,321,Potential
EB-38701,601,4,84,1,1,1,111,At Risk
EB-38702,497,2,101,1,1,1,111,At Risk
EB-39301,30,6,1462,4,1,2,412,Potential
EB-39302,7,11,972,4,3,2,432,Potential
EB-39751,780,5,2074,1,1,3,113,At Risk
EB-39752,35,7,640,4,2,1,421,Potential
EB-41101,57,8,1475,3,2,2,322,Potential
EB-41102,20,10,943,4,2,2,422,Potential
EB-41701,54,6,872,3,1,2,312,Potential
EB-41702,704,2,396,1,1,1,111,At Risk
EC-140501,111,9,2733,2,2,3,223,Potential
EC-140502,243,3,231,2,1,1,211,Potential
EC-140503,770,15,1003,1,4,2,142,Loyal Customers
EC-140504,53,7,462,3,2,1,321,Potential
EC-40501,162,14,1537,2,3,2,232,Potential
EC-40502,209,10,765,2,2,2,222,Potential
ED-138851,79,17,6533,3,4,4,344,Loyal Customers
ED-138852,15,17,3080,4,4,3,443,Loyal Customers
ED-138853,44,14,4922,3,3,4,334,Potential
ED-138854,135,14,3487,2,3,3,233,Potential
ED-38851,755,4,166,1,1,1,111,At Risk
ED-38852,623,1,15,1,1,1,111,At Risk
ED-38853,56,9,346,3,2,1,321,Potential
EG-139001,83,7,5381,3,2,4,324,Potential
EG-139002,141,10,6883,2,2,4,224,Potential
EG-139003,36,9,2468,4,2,3,423,Potential
EG-139004,22,9,1833,4,2,2,422,Potential
EG-39001,89,17,5151,3,4,4,344,Loyal Customers
EG-39002,51,11,1398,3,3,2,332,Potential
EH-137651,2,17,5217,4,4,4,444,Champions
EH-137652,173,12,3774,2,3,4,234,Potential
EH-137653,18,9,958,4,2,2,422,Potential
EH-137654,135,32,10313,2,4,4,244,Loyal Customers
EH-139451,120,8,562,2,2,1,221,Potential
EH-139452,190,7,3265,2,2,3,223,Potential
EH-139453,57,20,3320,3,4,3,343,Loyal Customers
EH-139454,217,17,684,2,4,1,241,Loyal Customers
EH-139901,44,16,6141,3,4,4,344,Loyal Customers
EH-139902,102,7,979,3,2,2,322,Potential
EH-139903,67,9,862,3,2,2,322,Potential
EH-139904,405,8,827,1,2,2,122,At Risk
EH-140051,72,13,1941,3,3,3,333,Potential
EH-140052,14,7,4728,4,2,4,424,Potential
EH-140053,28,13,2489,4,3,3,433,Potential
EH-140054,2,11,1220,4,3,2,432,Potential
EH-141251,102,12,4073,3,3,4,334,Potential
EH-141252,124,16,7494,2,4,4,244,Loyal Customers
EH-141253,229,13,2760,2,3,3,233,Potential
EH-141254,152,18,3084,2,4,3,243,Loyal Customers
EH-141851,271,16,6225,1,4,4,144,Loyal Customers
EH-141852,223,9,3744,2,2,3,223,Potential
EH-141853,67,13,1906,3,3,3,333,Potential
EH-141854,105,8,925,3,2,2,322,Potential
EH-37651,128,11,605,2,3,1,231,Potential
EH-37652,1119,3,405,1,1,1,111,At Risk
EH-39451,111,10,1244,2,2,2,222,Potential
EH-39452,1350,3,223,1,1,1,111,At Risk
EH-39453,485,6,1053,1,1,2,112,At Risk
EH-39901,720,10,635,1,2,1,121,At Risk
EH-39902,33,1,37,4,1,1,411,Potential
EH-40051,196,7,976,2,2,2,222,Potential
EH-40052,196,6,1654,2,1,2,212,Potential
EH-41251,22,14,1087,4,3,2,432,Potential
EH-41252,69,13,3926,3,3,4,334,Potential
EH-41851,128,11,1863,2,3,2,232,Potential
EH-41852,121,4,1714,2,1,2,212,Potential
EJ-137201,49,11,4136,3,3,4,334,Potential
EJ-137202,182,5,537,2,1,1,211,Potential
EJ-137203,120,11,2136,2,3,3,233,Potential
EJ-137204,302,8,2161,1,2,3,123,At Risk
EJ-141551,27,16,4223,4,4,4,444,Champions
EJ-141552,48,10,2313,3,2,3,323,Potential
EJ-141553,599,6,3131,1,1,3,113,At Risk
EJ-141554,57,8,2657,3,2,3,323,Potential
EJ-37201,212,6,1204,2,1,2,212,Potential
EJ-37202,156,4,525,2,1,1,211,Potential
EJ-41551,22,5,1841,4,1,2,412,Potential
EJ-41552,140,4,792,2,1,2,212,Potential
EK-137951,113,6,1103,2,1,2,212,Potential
EK-137952,92,10,2758,3,2,3,323,Potential
EK-137953,219,2,432,2,1,1,211,Potential
EK-137954,44,4,1302,3,1,2,312,Potential
EK-37951,393,5,174,1,1,1,111,At Risk
EK-37952,212,9,1355,2,2,2,222,Potential
EL-137351,292,7,4219,1,2,4,124,At Risk
EL-137352,145,13,3520,2,3,3,233,Potential
EL-137353,53,18,2651,3,4,3,343,Loyal Customers
EL-137354,77,2,125,3,1,1,311,Potential
EL-37351,26,14,1976,4,3,3,433,Potential
EL-37352,201,17,1718,2,4,2,242,Loyal Customers
EM-138101,272,13,7229,1,3,4,134,At Risk
EM-138102,78,7,1467,3,2,2,322,Potential
EM-138103,103,14,2290,3,3,3,333,Potential
EM-138104,132,7,2567,2,2,3,223,Potential
EM-138251,350,12,4013,1,3,4,134,At Risk
EM-138252,282,12,4427,1,3,4,134,At Risk
EM-138253,137,11,3349,2,3,3,233,Potential
EM-138254,55,16,2340,3,4,3,343,Loyal Customers
EM-139601,2,32,14324,4,4,4,444,Champions
EM-139602,16,25,5759,4,4,4,444,Champions
EM-139603,302,22,4212,1,4,4,144,Loyal Customers
EM-139604,151,6,934,2,1,2,212,Potential
EM-140651,16,15,4264,4,4,4,444,Champions
EM-140652,179,7,5518,2,2,4,224,Potential
EM-140653,209,14,2097,2,3,3,233,Potential
EM-140654,47,6,228,3,1,1,311,Potential
EM-140951,193,13,3189,2,3,3,233,Potential
EM-140952,289,14,5336,1,3,4,134,At Risk
EM-140953,8,3,1324,4,1,2,412,Potential
EM-140954,113,10,1041,2,2,2,222,Potential
EM-141401,175,25,10563,2,4,4,244,Loyal Customers
EM-141402,428,8,741,1,2,2,122,At Risk
EM-141403,24,25,5617,4,4,4,444,Champions
EM-141404,48,21,4589,3,4,4,344,Loyal Customers
EM-142001,119,13,7725,2,3,4,234,Potential
EM-142002,86,15,3557,3,4,3,343,Loyal Customers
EM-142003,41,25,5438,4,4,4,444,Champions
EM-142004,158,4,367,2,1,1,211,Potential
EM-38101,58,6,166,3,1,1,311,Potential
EM-38102,317,7,865,1,2,2,122,At Risk
EM-38251,966,2,41,1,1,1,111,At Risk
EM-38252,937,1,13,1,1,1,111,At Risk
EM-38253,482,10,325,1,2,1,121,At Risk
EM-39601,194,8,1171,2,2,2,222,Potential
EM-39602,945,1,100,1,1,1,111,At Risk
EM-39603,238,6,1585,2,1,2,212,Potential
EM-40651,149,9,1775,2,2,2,222,Potential
EM-40652,1238,2,139,1,1,1,111,At Risk
EM-40653,52,9,1300,3,2,2,322,Potential
EM-40951,588,8,1759,1,2,2,122,At Risk
EM-40952,877,1,193,1,1,1,111,At Risk
EM-40953,131,12,881,2,3,2,232,Potential
EM-41401,577,9,639,1,2,1,121,At Risk
EM-41402,93,6,1262,3,1,2,312,Potential
EM-42001,151,5,1922,2,1,3,213,Potential
EM-42002,151,4,663,2,1,1,211,Potential
EN-137801,14,11,1511,4,3,2,432,Potential
EN-137802,144,7,1957,2,2,3,223,Potential
EN-137803,30,7,668,4,2,1,421,Potential
EN-137804,287,9,2200,1,2,3,123,At Risk
EN-37801,364,4,179,1,1,1,111,At Risk
EN-37802,205,8,557,2,2,1,221,Potential
EP-139151,222,20,6827,2,4,4,244,Loyal Customers
EP-139152,105,13,2289,3,3,3,333,Potential
EP-139153,581,1,1686,1,1,2,112,At Risk
EP-139154,12,31,5481,4,4,4,444,Champions
EP-39151,75,5,294,3,1,1,311,Potential
EP-39152,1283,2,193,1,1,1,111,At Risk
ER-138551,296,9,2687,1,2,3,123,At Risk
ER-138552,69,7,7927,3,2,4,324,Potential
